digit,type,correlation
1,Clean,0.9721776822548773
1,Clean,0.9717203148518013
1,Clean,0.9719945656024791
1,Clean,0.9719049900869493
1,Clean,0.9780077796325242
1,Clean,0.9736700220647375
1,Clean,0.9749997169267216
1,Clean,0.9713851863443261
1,Clean,0.9742525223430775
1,Clean,0.9691296475725694
1,Clean,0.9745277780649342
1,Clean,0.9741824112657389
1,Clean,0.9671131673011628
1,Clean,0.9737219324393447
1,Clean,0.9713151724333388
1,Clean,0.9717401680547589
1,Clean,0.973567095791977
1,Clean,0.9722280373975919
1,Clean,0.9758266918205504
1,Clean,0.975798883870557
1,Clean,0.9762239216945803
1,Clean,0.9695644794087315
1,Clean,0.9714524792749086
1,Clean,0.9762372695167099
1,Clean,0.9750584463750999
1,Clean,0.9734656283700702
1,Clean,0.9759179882927619
1,Clean,0.9720714140306533
1,Clean,0.9740584002977497
1,Clean,0.9748165903402063
1,Clean,0.9722342437582339
1,Clean,0.9806984974349363
1,Clean,0.9743041400557979
1,Clean,0.9712324324695908
1,Clean,0.9726745329745544
1,Clean,0.9701858956871926
1,Clean,0.9753076628155856
1,Clean,0.9691416803181941
1,Clean,0.9756874172055605
1,Clean,0.9728041983140324
1,Clean,0.9712638457579436
1,Clean,0.9735530928997096
1,Clean,0.9719830210104479
1,Clean,0.9718960173058747
1,Clean,0.9751181267890757
1,Clean,0.9735459894783468
1,Clean,0.9715672468375376
1,Clean,0.9700354935955379
1,Clean,0.9765256154437265
1,Clean,0.9746178642725404
1,Clean,0.9726764948285446
1,Clean,0.9723299575971089
1,Clean,0.9721530808525267
1,Clean,0.9685277858709742
1,Clean,0.9710185054504201
1,Clean,0.9755094439034734
1,Clean,0.9781341956419888
1,Clean,0.9689610353835166
1,Clean,0.9739889034018185
1,Clean,0.9757090436422763
1,Clean,0.9695033457823002
1,Clean,0.9695345872217929
1,Clean,0.9710855117050833
1,Clean,0.9702073813300408
1,Clean,0.9726627466418624
1,Clean,0.9758661183472054
1,Clean,0.9738427841009996
1,Clean,0.968562170533366
1,Clean,0.9779711882297745
1,Clean,0.9734822130775941
1,Clean,0.9710756004367183
1,Clean,0.970173851339426
1,Clean,0.9771127472822511
1,Clean,0.9746373141162803
1,Clean,0.9735954563748114
1,Clean,0.9740483742315851
1,Clean,0.9707823127849049
1,Clean,0.9714804210875492
1,Clean,0.9754992533841006
1,Clean,0.9737214238906964
1,Clean,0.9746583878515678
1,Clean,0.9771561509577468
1,Clean,0.9700021522182375
1,Clean,0.9726875704787015
1,Clean,0.9781206030450018
1,Clean,0.9705164860116268
1,Clean,0.9661169288932343
1,Clean,0.9745502594440957
1,Clean,0.9714526342049404
1,Clean,0.9721749213211962
1,Clean,0.9734935947386921
1,Clean,0.9710847418058103
1,Clean,0.9757491720837673
1,Clean,0.9703890861453697
1,Clean,0.973475690892159
1,Clean,0.9748585119528006
1,Clean,0.9742664374215575
1,Clean,0.9749395889421557
1,Clean,0.9690591221132336
1,Clean,0.9738646568216541
1,Clean,0.9737769157910952
1,Clean,0.9772859455989491
1,Clean,0.9759731373315832
1,Clean,0.972936860103828
1,Clean,0.9729909641312644
1,Clean,0.9791168028121895
1,Clean,0.9686321536466375
1,Clean,0.9789308873056638
1,Clean,0.975926214534869
1,Clean,0.9735261801945448
1,Clean,0.9748286075299979
1,Clean,0.9685147396180398
1,Clean,0.9753231395431016
1,Clean,0.9731562765945538
1,Clean,0.9725061961618203
1,Clean,0.9749039616979808
1,Clean,0.9762382269183243
1,Clean,0.9710427427802373
1,Clean,0.9746050489566501
1,Clean,0.9775234072558039
1,Clean,0.9739824059544024
1,Clean,0.9763700599700063
1,Clean,0.9691459384205163
1,Clean,0.9719484395039173
1,Clean,0.9742003018969941
1,Clean,0.9745876636394358
1,Clean,0.9744979935093984
1,Clean,0.9724003228609318
1,Clean,0.9725053036510377
1,Clean,0.9652634625030659
1,Clean,0.9765058232609263
1,Clean,0.9734631145249828
1,Clean,0.9763282604160018
1,Clean,0.9722347561242148
1,Clean,0.974376676947285
1,Clean,0.9710545964998155
1,Clean,0.9685619490460154
1,Clean,0.9749147016136973
1,Clean,0.9784530656543101
1,Clean,0.9723327948620845
1,Clean,0.9692555004544188
1,Clean,0.9735711696988704
1,Clean,0.9736370776756542
1,Clean,0.9725712563015704
1,Clean,0.9728062798874051
1,Clean,0.9752301346065645
1,Clean,0.9733956638191397
1,Clean,0.9752739020298338
1,Clean,0.975214916412421
1,Clean,0.9735671626163855
1,Clean,0.9777903246495306
1,Clean,0.9774304511027462
1,Clean,0.9760378037738139
1,Clean,0.9713172541187914
1,Clean,0.972085647585318
1,Clean,0.9716964595676405
1,Clean,0.974485966248627
1,Clean,0.9755262869845013
1,Clean,0.9735920386575267
1,Clean,0.9730303199657465
1,Clean,0.9726173036607975
1,Clean,0.972701904333532
1,Clean,0.9665788961059194
1,Clean,0.9758628319667237
1,Clean,0.9742344120334685
1,Clean,0.9706406723716743
1,Clean,0.9736813703664601
1,Clean,0.973870388642985
1,Clean,0.9735816485225892
1,Clean,0.9709889366510148
1,Clean,0.9727426989122088
1,Clean,0.9752984700392139
1,Clean,0.9740822350518311
1,Clean,0.9784620235619146
1,Clean,0.9738609761331264
1,Clean,0.972173191712509
1,Clean,0.9727224455984379
1,Clean,0.9726448682347621
1,Clean,0.9797276470567435
1,Clean,0.9706890848424324
1,Clean,0.9715876981423166
1,Clean,0.9710588402095387
1,Clean,0.9752543365263586
1,Clean,0.9739493912520046
1,Clean,0.9757350461980234
1,Clean,0.9731982110183325
1,Clean,0.9751167529632374
1,Clean,0.9719856491751172
1,Clean,0.9740032895618657
1,Clean,0.9752058841019503
1,Clean,0.9768646971079057
1,Clean,0.9682090089047467
1,Clean,0.9697663133843953
1,Clean,0.9784572241722772
1,Clean,0.9737363771944205
1,Clean,0.9734297060195389
1,Clean,0.9723022186911018
1,Clean,0.9724312770836329
1,Clean,0.9738218609797276
1,Clean,0.970912714727698
1,Clean,0.9734949990058238
1,Clean,0.9716739031960737
1,Clean,0.9703163770338775
1,Clean,0.971589413983391
1,Clean,0.974942366663346
1,Clean,0.9728917754061217
1,Clean,0.9704309009456826
1,Clean,0.9738218387635086
1,Clean,0.9744553178844315
1,Clean,0.9744487767740443
1,Clean,0.9715037623130583
